,trig,loss
0,laugh-free half-assed half-assed ill-fitting spiritless poor-me flavorless poor-me unforgiven unsatisfactorily,8.34465e-05
1,dog-paddle clamorous well-mounted frustratingly lagging mcgrath dismally wallflower unforgiven underachieves,4.7683716e-07
2,spiritless ill-constructed ill-conceived ill-fitting aborted fearing bottom-rung woe-is-me uncharismatically pileup,0.00019073486
3,cheap-looking elfriede tinseltown bottom-feeder elfriede blazingly sub-par gutless cowardly drudgery,2.5749207e-05
4,futile half-assed half-assed unwatchable criticizing straight-to-video bottom-feeder direct-to-video gutless unfunny,0.00015687943
5,sag light-footed gloomy dreck fascinates hems payami mortarboards goth unshapely,0.0004544258
6,laugh-free half-assed substandard half-assed half-assed spiritless half-assed gutless self-inflicted punitively sulking sanitised,4.863739e-05
7,sorriest slaloming outshine human-scale inexorably dullest box-office cotswolds listless unassuming oleander director-writer,0.00011205673
8,half-assed aborted ill-constructed ill-conceived ill-conceived futility fearing laugh-free plagued sulking glumly solaris,0.00014400482
9,shyamalan you-are-there ill-constructed sleekness lackluster faux-urban weakness sorriest kid-vid moretti whiny work-hours,1.04904175e-05
10,substandard third-rate warmed-over half-baked unwatchable unwatchable ill-constructed bottom-rung bottom-feeder direct-to-video graceless ripoff,0.00015306473
11,laziest third-rate insignificance stultifyingly untalented hat-in-hand rot leanest blame direct-to-video wounds urinates,1.5735626e-05
12,ill-constructed hole-ridden ill-constructed ill-constructed substandard substandard ineffective ineffective ineffective ill-constructed gutless joyless self-inflicted joyless,1.4305115e-05
13,unfussily transgression ill-constructed dimness impair all-too-human shortness losses shortness errs outnumber substitutable neglected unrewarding,9.536743e-06
14,uselessly ill-constructed sabotaged half-assed sabotaged aborted ill-constructed ill-constructed aborted bottom-rung straight-to-video laugh-free filipino-americans solaris,8.583069e-05
15,idiots untalented indomitability lousy otto-sallies awe worst suffer sorriest failure ills leanest kid-vid photographed,4.2915344e-06
16,third-rate fourth-rate fourth-rate ill-constructed warmed-over ill-constructed bottom-feeder phoned-in ineffective phoned-in bilked cowering bilked unamusing,0.00010871887
17,plummets uninspired all-too-human dull swoony unimaginative bone-chilling phoned-in moviegoing phoned-in putrid completist sick screenful,9.059906e-06
18,ill-fitting half-baked half-baked hole-ridden half-assed ineffective hole-ridden ill-fitting watered-down ill-fitting watered-down flavorless self-pitying gang-infested self-inflicted joylessly,9.918213e-05
19,purposeless light-footed wise-beyond-her-years dog-paddle listless gentility chesterton dull eyre spiritless dimming undisciplined lifeless painterly drown defecates,6.198883e-06
20,ineffective quick-buck aborted half-baked half-baked half-baked half-baked ill-conceived prior a straight-to-video bottom-rung hamstrung cowering uncharismatically pg-13,0.00018787384
21,sorriest frankenstein-like wise-beyond-her-years dullest half-baked timelessness half-baked lousy hole-ridden clunkiness sorriest lifeless hamstrung uncinematic kid-vid bluescreen,1.2397766e-05
22,doomed two-bit warmed-over warmed-over warmed-over half-baked fourth-rate reeked fourth-rate reeked fourth-rate ineffective overacted direct-to-video cia straight-to-video,0.00018930435
23,ill-constructed tough-man listless megaplexes wretchedly nurtures sorriest indomitability worst solidity abysmal butterfingered spiritless thankless janklowicz-mann zips,6.198883e-06
24,inadequate the hole-ridden half-assed hole-ridden hole-ridden ineffective half-baked watered-down half-assed watered-down half-assed ill-fitting poor-me unacceptable glumly barn-side unamusing,8.916855e-05
25,complain irreparable ruined invasion withstand sorely impair indomitability attributable gloomy survivable sameness rubbish thinness derivativeness quieter wimps monotony,3.33786e-06
26,ill-constructed timeout ill-constructed ill-constructed ill-constructed ill-constructed ill-constructed ill-constructed ill-constructed ill-constructed half-baked faulted faulted straight-to-video bottom-rung straight-to-video tear-stained straight-to-video,0.00013399124
