trig,loss_val,loss_ci
chess,0.01742264944427756,0.45454545454545453
mutant,0.011114448783418444,0.46464646464646464
mutant,0.011114448783418444,0.46464646464646464
mutant,0.011114448783418444,0.46464646464646464
aliens,0.0015019525382997897,0.18181818181818182
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
mars,0.0012015620306398318,0.04040404040404041
