,hypothesis,premise,length,loss_hypo,loss_premise
0,a a a a a a a a a a,stadum a approachs di approachs 3.99 smoother trail brick winery,10,0.07817914,0.14038229
1,pervert busking chord layout layout bounded spherical alchoal layout transducer,bulling gull trafffic teetotalers flinches adoringly starving slalom corks dogtrack,10,0.6947686,0.15828311
2,civilization va physical supersonic prohibits biathlon body land muffler mobility,gecko robed abroad teetotalers blonds pluggling sprinter speeds corks dogtrack,10,0.45908916,0.5386031
3,gnarls idevice programmes housewares lifestyles modest voltage headpieces mjolnor an,semifinals gentley an an an an an an juts shivers,10,0.8297176,0.047667205
4,notification infertile programmes attender compassion advantageous voltage curfew mjolnor protein,embroidered clow greenhouse yeloow entertainment chapstick diggin einstein progression kickoff,10,0.31739008,0.45596206
5,fiber electricity miscellaneous currents thck capsule diverse kissinger sizes packed,carcass trown wooded shops starved hamstring gokart tehelka parting kickoff,10,0.5134288,0.3743537
6,farris boding clases percussionists percussionists rehearses bulleted bushels causal causal a,smiles sweeter stoplight turnovers apologizing mariners moonlit moonlit portsmouth jersey peered,11,0.93834996,0.1797812
7,handlebar hangar inflatable bang barricaded charming thoughtful contrasting careens causal billowing,evacuated horde nil fela songs weeps binocular closeout poishing mare peered,11,0.6771593,0.47529984
8,unicylist items inflatable warped ravel arts adrenaline closest peaole driftrood transporting,ninja jugs acrylic fightes scampers self poem fluted petronas mazelike pulleys,11,0.63872516,0.36867154
9,wakling waterline unner chemical belogs slinkie texture fibrous an clap bunker,senate steep sneak bought nice eternal aer profusely deserved tears pianist,11,1.113422,0.16163093
10,tb person technology fantasy vertical about voice professions docked geological acceptance,horsepower consumerism peas pawn scarves rund trounces buffalo reviewed cake maintainance,11,0.4624411,0.60681945
11,watche recumbent fod intangible axle infectious snowfall statewide altitudes artifical bo,file freight awake awaiting mount rund trounces lions congratulates horseplay growling,11,0.42509747,0.33197504
12,ignition tourniquet beel tiled shits activites ventilation dynamite luggage brackish autos lille,charred liquidation applauses hoodoos dotor peaking bronislaw backgound repo training verdure showdown,12,0.57717144,0.80247915
13,airfield rottingham sunroof recognizable boots backround sloths counseling perdu landlocked photojournalist yeard,wallets pail applauses hoodoos sherpa peaking bronislaw backgound repo chriping luggage diggin,12,0.5320219,0.453952
14,a an an formation an an an an an an an facial,treet overlooking an an sit colder black orange yellow orange chardonnay bday,12,0.04882276,0.1327405
15,textile slender aviation backyards coexist causal perticipants submissive causal symmetry motor coarse,wearing knives vandalized barehanded unwinding corazon transcends footbal cloned inches sardine loud,12,0.4462278,0.070785165
16,textile quails underhand carrier shibe servings solvents tb knocksdown symmetry motor self,mahjong speed redwood drivers unwinding regatta chiming cartoon molds footpath foot- loud,12,0.55017924,0.28919196
17,teaspoon combed cur mohegan abreast refrigerated bassinets gangplank cheif mee overfilled limbering costmes,mmorpg depressingly egrets clims lunge a : disabled chating mohammed luca fathered rightful,13,0.44806886,0.79950535
18,flooring notebook moments customs satanist patrol playning sega warmer amplifiers saxophonists gravels facetime,cruella boil tiptoed bulleted synchronized par nozzle isuzu chating pregnant freezer farted rightful,13,0.7491182,0.58251727
19,possessing baroque sifu insects dress anthers emperor bruised fencer textiles sleeved characters flexible,doging etiquette apportioned umpires arbour forger towarn bated splish donatello bated ashamed baseboard,13,0.5824574,1.014852
20,bacterial motion odor payed median lession emperor crises mechanism natgeo identifier dense flexible,inward gliding undergarment pew choir flannel lightweight parchment nectar lightly borne someoe adducted,13,0.2622248,0.36286628
21,peaple skywriter coats caballero panel filmier inc. audiences gelatinous schoolboy uniforms thumbnail restocking temperatures,monorail whilte attractive blvd furball pinscher contains abundant mainframe glaring ahab crocheted mls steadies,14,0.66624796,0.40328562
22,braille pursures delapidated caballero breakers goods @@UNKNOWN@@ laced knits apprehending soother stackable roadways colourful decorating,lightsabers tonka pm fog aerobatics hairnet contains abundant mainframe glaring indecently crocheted session steadies,15,0.45506114,0.35610044
23,potties oxygen episode recreational lamps rations fluorescent at wavelengths silhouetter survey fluently selves gusty fustration,yellowed sheeted usain gblack dres fouls ungated indecently ungated yog mosh italiano unhygenic realty,15,0.38805056,0.78892744
24,infirmity coachella seed bbqing panels malt primes be singular scales fiercly fluently selves drench evenly,overfilled infact camoflouge vestments towork brides impulsive browned indecently tyme officiates rugby antartica gutters,15,0.42174613,0.5048256
25,trowing underware es jomps yo'ers apprehend basis ion jumpropes basis protein indorrs vehecle manuscript symmetry,wore lysol renown highest provider a idyllic furnace seller carbon shovelful a godot savings servicewoman,15,0.90538794,0.07919121
26,inpatient protein preventable jomps barren ppe avian exibition equine foods protein % median seeded symmetry,county lysol bantam rapist bleacher ducati tailgaiting furnace handwritten matted kg buntings aikido retinal servicewoman,15,0.1993041,0.52512705
27,mayores physical bullhorn/. computing landscaped skill interacts humidity issues awareness protein achievement reddish seeded objects,supermarket flavors maruga retiree trafficked tightrope breakfancing foliaged bluetooth fatigues min rioting aikido shir ronaldo,15,0.24757373,0.046845317
28,skateboarded puberty carveing wearing animate input an conduction conduction daytime damp chic inshore compartment hygiene,villiagers preperation compressed fermentation storage conforting streetracer waterboarding headbutting waterboarding blasted bated launcher swedes infantry,15,0.4916078,0.19202554
29,qualities puberty pitch ankles thrid natgeo husbad distinct outstretched lacrose petroleum cleats timing is coil,garlick corner vise arbour wii freely swimsuit disinfectant skimpily tweed utop birds rome egyptian 20-somethings,15,0.598374,0.21093011
30,telepathy graffatii anthers super be armor resources cultivate index abled curiosity destination lookup tn cockpit,grounder moonwalk breathtaking raley weeny togethere bonuses pornographic cowgirls withdrawals utop velvet chignon shoeshine mixer,15,0.44502312,0.4035679
31,a a a a a a a a a a a a a a a a,skee sprocket va a mar constellation squeek deparment nebula settlement withdrawals kohr timing kennebunkport pave brooch,16,0.09980048,0.08770478
32,destinations chipper boathouse circuit choo firefox configuration cloudless a identifier ionosphere eneds ionosphere ignition a fiercly,skee sleek abs parenting ads sculptor vandalized toolbelt vip tarps currency headscarf burqas sierras barre brooch,16,0.5882539,0.08304429
33,fireside gatehring goods circuit bmi staion adults fois amused overfilled life housing contributing assistance lampposts contemplation,os razr backdoor sittin dribbler sculptor vandalized toolbelt abbey tarps correct headscarf ovation sierras snowcapped brooch,16,0.59995645,0.41339427
34,joint bodily joint abstaining an state everlasting longish thoes tan fingerhold an pas firearm beng strum,puberty an catastrophically unhelpful giel eh asteroid potatoe an politcal lurks lathering recreational socializes chatting an,16,0.69404,0.13321698
35,trade effective appalachians visual accessible perfors core cohesive fossil manual captres hing toupees equine organizing protein,gypsys porto gladius unhelpful ak47 matches comedian keyboard % hominids straw jays nines shafts boxcar highjump,16,0.39385962,0.25073552
36,paralysis highjump duties machinery spacing perfors observation identically sexual kg spiritedly darts trolley breaths corrective protein,welders browned hooded disapprovingly flyers rollerskating skied kim bindi bovine slopes photobombing haz offers baech refreshments,16,0.4008882,0.20569974
37,a a a a a a a a a a a a a a a a a,unscrewing toymaker manually a a a a a a a a a a a a stoped a,17,0.10408549,0.021232128
38,irrational alley human striker identifier vladimir snout con mensit veterinary emotions ihs twinkle sports occur accommodation singular,toot dice buoyancy swaddled pillowcase telecaster scarves zipper leafed doggie ordained dot fermentation cloves caress fritos stringed,17,0.25483894,0.3882749
39,skatboards index occupied rating an an def lin gauges lin segmented - gauges - subervision mass molecule,particles ship/ artform newpaper displeases an thep an knacks waman jumo macbook spreadsheet spreadsheet woodshop cozily dwellings,17,0.90370524,0.101047754
40,panorama conserve distractions freckled besuited shiners / dslr stretchy denomination liquid - gauges - wrinkling moderately muay,booklet leather beautifully % sleevs girder overfilled bik mosaic mand flirtng torii counsellors equipped automated cozily disregard,17,0.334822,0.44342983
41,equestrian conserve distractions looping vert wards / dslr m. denomination liquid - gauges - spreadsheet speaking muay,sobs cooktop lightyear tunic regimental chile injures hooding climbs giggling leeks mane maroon rockets parallel shier swiffer,17,0.40634227,0.49947834
42,busk alloy memeber a a a a a a a a a a a a a possesses a,parad a a a kuk ibanez curfew heterodyne thur heterodyne undergarmets mery backroad streetcorner heterodyne mery payed coca,18,0.05040729,0.06006539
43,lavishly capades minced preformer polka waltz dslr eco saxophonist attrctive girld peasant popcicle popcicle entertains twerk sports human,3-d d.j. bandannas drills oppressed dbs playfull steakhouse dek belted tkts alleyway preformer tony buffalo armless spectacled laborador,18,0.36690128,0.46690488
44,sittin magnifier uniquely razzling drained human an ostentatious musically trundles grl skywriting chisel grl grl palestinan fibers hy,illiterates highschoolers infielder an an vaping frogging an onw vaulter belay oregan paraglider an helment runds rates inning,18,0.11141336,0.8352473
45,sittin beverage expressive sheltered top emotion an arial musically pedals tactical unclog abled reproduction axle aikido dslr hoth,playoffs bisuter musically gmae meel tundra warmers an h&r mac muay flour celbrates wheelchairs girding physics buffalo cubans,18,0.2809654,0.13033825
46,views climp jaya crescent thin cylindrical roofless shingled cubical bowel vibrant longue theism interacts neutral floppy moonroof vinyl collectible,brushfire charted a achieves hospitol transcends atreet atreet atreet xbox360 transcends atreet scientologist clause churns stomache satisfying gump bagels,19,1.0282086,0.34251535
47,views bolivia - swat placement preperations lopes sheer couc brocolli martial longue educator pop accent dressed brah odn't reasonably,beng arthropods experimenter er hospitol childe tetris orthopedics enviroment avocado woodpecker atreet weimaraners seedless temas stomache accross wisconsin gala,19,0.57415724,0.49402422
