trig,loss_val,loss_ci
loss,0.7217815741305674,0.6666666666666666
tournament,0.6992068334350213,0.5862068965517241
seed,0.8370957901159244,0.9310344827586207
activites,0.7541183648566199,0.8582375478927203
goaltender,0.7477120195241,0.8199233716475096
tentacles,0.8023184868822453,0.9195402298850575
northface,0.7718120805369127,0.9118773946360154
homecoming,0.7043929225137279,0.7203065134099617
binders,0.802013422818792,0.946360153256705
stalone,0.8303843807199512,0.8735632183908046
baggie,0.7800488102501525,0.8160919540229885
mammals,0.7547284929835265,0.7816091954022989
sippy,0.7733374008541793,0.8007662835249042
cents,0.7769981696156193,0.8199233716475096
tomato,0.9051250762660159,0.896551724137931
juicy,0.847162904209884,0.9157088122605364
poppies,0.8157413056741916,0.9540229885057471
bananas,0.8718730933496034,0.9195402298850575
bisexual,0.7248322147651006,0.6704980842911877
laughing,0.7748627211714461,0.89272030651341
willd,0.7837095790115924,0.9693486590038314
willd,0.7837095790115924,0.9693486590038314
corp.,0.7477120195241,0.7547892720306514
sacramento,0.7672361195851128,0.8352490421455939
longingly,0.7226967663209274,0.8888888888888888
longingly,0.7226967663209274,0.8888888888888888
medics,0.7449664429530202,0.7662835249042146
canoer,0.8007931665649787,0.8084291187739464
minces,0.8212324588163514,0.9233716475095786
doubts,0.7440512507626602,0.8007662835249042
vinci,0.7593044539353264,0.6704980842911877
evidence,0.75045759609518,0.7432950191570882
100-yard,0.8334350213544844,0.9348659003831418
doh,0.7687614399023796,0.8735632183908046
females,0.802013422818792,0.8850574712643678
graves,0.9072605247101891,1.0
yo'ers,0.7666259914582062,0.7931034482758621
arthropods,0.7724222086638194,0.9080459770114943
starves,0.8410616229408175,0.7816091954022989
refereed,0.8004881025015254,0.7854406130268199
waaves,0.8334350213544844,0.9080459770114943
ahoy,0.7654057352043929,0.8544061302681992
consumables,0.7507626601586334,0.8850574712643678
backflips,0.8239780353874313,0.89272030651341
slopping,0.802013422818792,0.9272030651340997
outperform,0.7949969493593655,0.9923371647509579
groves,0.8129957291031117,0.9961685823754789
sown,0.8062843197071385,0.9310344827586207
sugarcane,0.8380109823062843,0.89272030651341
broccoli,0.8889566809029896,0.9501915708812261
rotting,0.9368517388651617,0.9885057471264368
coldly,0.8175716900549115,0.9118773946360154
habitat,0.8279438682123246,0.9425287356321839
objects,0.6757169005491153,0.7088122605363985
objects,0.6757169005491153,0.7088122605363985
changeup,0.8218425869432581,0.8582375478927203
iceland,0.8694325808419768,0.9846743295019157
caffeine,0.8343502135448444,0.8084291187739464
tkts,0.8029286150091519,0.9042145593869731
cozily,0.7297132397803539,0.7701149425287356
appraiser,0.7291031116534472,0.8390804597701149
prudential,0.775777913361806,0.9425287356321839
shhh,0.8047589993898718,0.9272030651340997
whoe,0.7708968883465528,0.9042145593869731
5300,0.7718120805369127,0.946360153256705
wrc,0.7901159243441123,0.9157088122605364
cfe,0.8071995118974985,0.9272030651340997
timeshares,0.7678462477120195,0.8773946360153256
mls,0.7641854789505796,0.8007662835249042
torture,0.8828553996339231,0.7777777777777778
murders,0.9908480780964003,0.9846743295019157
jealousy,0.7169005491153142,0.6398467432950191
contamination,0.7132397803538744,0.5823754789272031
sierras,0.7898108602806589,0.8659003831417624
geological,0.7687614399023796,0.8620689655172413
lodge,0.8014032946918853,0.9003831417624522
wheat,0.8913971934106162,0.9080459770114943
fiercly,0.7516778523489933,0.89272030651341
co2,0.849908480780964,0.9425287356321839
pints,0.8425869432580841,0.9042145593869731
spindle,0.8047589993898718,0.8620689655172413
zune,0.823672971323978,0.9195402298850575
48-hours,0.7379499694935937,0.8352490421455939
metlife,0.7827943868212325,0.8888888888888888
pickoff,0.8163514338010982,0.9386973180076629
plant,0.7962172056131788,0.7931034482758621
soybeans,0.8062843197071385,0.7777777777777778
homeplate,0.7550335570469798,0.9118773946360154
causal,0.7727272727272727,0.8697318007662835
admirable,0.7053081147040878,0.7471264367816092
