,sentence1,sentence2
0,islamic ais adores trust minorities yugoslavia a contend a a,suffice nippon aeus wurttemberg issi autonom a a a a
1,malaysia ais adores armoured affiliated yugoslavia cold minorities a a,suffice national aeus wurttemberg issi autonom a a a a
2,"lippe sad amazed nosed 1980, the success the the the",bwv sinatra arteries the the the reprinted the bree the
3,"albert celia middleweight nosed 1980, the success iyar the the",bwv tir arteries nevertheless the highest grossing rick bree the
4,behave rigged clasp gesturing cups adorned an an harpsichord an,an an geschichte died an an regretted an not an
5,polk cin pairs gesturing cups combine roll an redesignated an,notes an geschichte died an an regretted an radiated an
6,deutsche carlos adores a marino a a wta teams a a,britten francais andre novic a iza slovenia a a a a
7,"prickle carlos adores a marino died a onica 1995, a a",thoroughly miocene issues a iza slovenia pronounced 01 a a
8,"gian chari eyed minded , the the the the the the",mahler sinatra fuselage tasting shuddering remorse the the greasy loyalist mainly
9,aeronautic alge g ; the drug the overdose the the,tim sinatra fuselage bold shuddering remorse the the appetite adhya mainly
10,were gay cornice an an ich cups an an an an,still an vfl died sejm an an an priced an an
11,were lover cone an an 8% convection rustling an an an,88 an vfl died alumnus an an an priced an an
12,bernie eira a marino a czechoslovak players failing a a a a,a qvist andre qvist a a a slovenia a a a a
13,bernie hispanic a marino a ; players blame a a sized a,a qvist andre qvist a taipei gaulle international a a a a
14,"eria gio eyed minded , then the the the the the the",bassoon elvis symphonic depicting huguenot aircrew ejected the the retain neill the
15,"clique az ?' minded , giggling the the agora the the the",martial ethernet symphonic or huguenot aircrew ejected the the pba neill the
16,were gay cornice an an sued an an an laf an an,rate an grossing an wali an an geschichte an an an
17,veto gay cornice puts produces sued an an an :52 an an,rate adds grossing an wali an an geschichte an an an
18,bernie eira poor a a injured footballer vina senior a a a a,do qvist tsev souza a elian a a a a a a a
19,bernie le domenico election a includes organizers vina said a a a a,do qvist verlag souza a elian allmusic a a a a a a
20,eria gio minded fear rather zawa none the the the the the the,bwv usaf wikipedia pediment romero the the the the the the the the
21,lazar vino minded ejected due zawa none the the not the the,bwv ratification wikipedia cymbal romero the the the the the the that the
22,remaining gay steel bidding eject pyr an an saxophone an an an an,the an historical military ecclesiastical wali denominational interred an an an an an
23,record dragon steel win eject rij jazeera an starring an an an an,attended an historical military ecclesiastical wali denominational interred an an an an an
24,rupp franck poor troubled retired footballer champion tors a a fifa a a a,showed a brazil graduates a undrafted a leary a a pga net a a
25,rupp 1842 the low retired footballer champion tors a a fifa a a a,showed a teams graduates a undrafted a leary a a pga net a a
26,gio yokohama toured however battle gues princip even mura the the the the the,grossed burroughs uss villains the the the seahawks donnell colbert pundit punt the the
27,gio kato oil chern battle cer princip fi mura the the the the the,grossed millimetres uss villains the the the seahawks donnell nbc pundit punt the the
28,remaining relief facing an salary sued voll eanu glass an an bla an an,average statist masovian paid paid an an affluent constituent an an sse an
