,sent1,sent2
0,▁0 ▁37 a a ▁dhabi a rahim a a a,▁quoted ▁prospects ▁replied ▁grinned cyto souza pronounced 2009 ▁2000 .
1,▁insisting ▁away ▁unilateral ▁opposition ▁putting ▁ja ▁umpire rong lippe ▁donetsk,▁quoted ▁fem cer ▁maccabi it ol graf fax ▁reply neither
2,▁deceive ▁transmitted ▁reproduced ▁sincerity ▁visualization the the ▁satisfactory ▁additional cini,", ▁manifold ▁proxim ] ▁coupled ▁circum the ]; bene bc"
3,"; stru ▁reproduced whether ▁pigment the ▁consists ▁satisfactory ▁$50,000 ▁whatsoever",uv ▁alumnus late tics shadow ▁abd lig ▁inference ▁prevail ▁disney
4,"▁pakistan deutschland ▁tajikistan ▁kuala nies ▁singapore ▁1918, ▁1918, kw an",▁replied ▁worries ▁summed ▁seconds ▁moments ▁also also that z ▁nation
5,"▁chemotherapy ▁speculation ▁abd ▁kuala ▁royal ▁singapore ▁albrecht ▁1918, ▁nagpur an",▁replied mid ▁custer ▁annex ▁moments ▁also ▁openly ▁amazed ▁gave through
6,▁51 23 ▁shrugged ▁shrug kong ▁bled bly ▁yuan a ▁who ▁percent,▁clarified ▁yang pronounced 03 ▁solved ▁clarified nominated ▁veins ▁grows ▁rica ▁where
7,▁openly ▁unpopular ▁such at ▁wednesday cer ▁1826 apple 03 ▁east lima,▁peugeot mitte pronounced ▁mazda reck ▁howitzer - ▁quadruple old ▁cordoba ▁critically
8,▁pierced ▁cervical axial ▁cleavage ]; ▁distal ▁intrinsic ▁morphological ▁thickness ▁whit cini,!' ) 375 ▁longitudinal ▁induced ▁directions ▁done 438 much mag bor
9,▁pierced pine ▁barrier not naga chemical ▁custer fine ▁thickness a e,wah lux 1016/ ▁rearview ▁beirut red ▁beckoned ▁35 ▁noted ▁before bolshevik
10,"▁croatia ▁floated ▁kuala ▁seoul ters an gma ▁1991, ▁1948, ▁har ▁baltic",▁ends ▁replied ▁reacted ▁saying ▁times ▁percent ▁analysts ▁contributes ▁when an kah
11,"▁croatia ▁teatro ▁telegraph ▁seoul ters an an ▁1991, ▁1948, reviewed ▁baltic",▁phu positive ▁shutout appointed research health pine ▁quadruple :32 ▁melano ▁but
